subject,game,recall_prop_centered,recalled_total_count
114,2,0.625,6
114,3,0.625,6
114,4,0.625,6
114,5,0.625,6
114,6,0.625,6
114,7,0.625,6
115,1,0.125,3
115,2,0.125,3
115,3,0.29166666666666663,4
115,4,0.29166666666666663,4
115,5,0.45833333333333337,5
115,6,0.125,3
115,7,0.625,6
116,1,0.45833333333333337,5
116,2,0.45833333333333337,5
116,3,0.45833333333333337,5
116,4,0.29166666666666663,4
116,5,0.625,6
116,6,0.625,6
116,7,0.29166666666666663,4
117,1,0.29166666666666663,4
117,2,0.29166666666666663,4
117,3,0.45833333333333337,5
117,4,0.45833333333333337,5
117,5,0.625,6
117,6,0.625,6
117,7,0.625,6
118,1,0.45833333333333337,5
118,2,0.45833333333333337,5
118,3,0.45833333333333337,5
118,4,0.45833333333333337,5
118,5,0.625,6
118,6,0.45833333333333337,5
118,7,0.45833333333333337,5
119,1,0.125,3
119,2,0.45833333333333337,5
119,3,0.125,3
119,4,0.45833333333333337,5
119,5,0.125,3
119,6,-0.041666666666666685,2
119,7,0.45833333333333337,5
120,1,0.45833333333333337,5
120,2,0.125,3
120,3,0.29166666666666663,4
120,4,0.29166666666666663,4
120,5,-0.041666666666666685,2
120,6,-0.041666666666666685,2
120,7,0.125,3
122,1,0.29166666666666663,4
122,2,0.29166666666666663,4
122,3,0.125,3
122,4,0.29166666666666663,4
122,5,0.45833333333333337,5
122,6,0.29166666666666663,4
122,7,0.625,6
123,1,0.625,6
123,2,0.625,6
123,3,0.625,6
123,4,0.625,6
123,5,0.625,6
123,6,0.625,6
123,7,0.625,6
124,1,-0.041666666666666685,2
124,2,-0.041666666666666685,2
124,3,0.29166666666666663,4
124,4,0.29166666666666663,4
124,5,0.29166666666666663,4
124,6,0.29166666666666663,4
124,7,0.29166666666666663,4
125,1,0.125,3
125,2,0.625,6
125,3,0.45833333333333337,5
125,4,0.625,6
125,5,0.625,6
125,6,0.625,6
125,7,0.625,6
126,1,0.29166666666666663,4
126,2,0.45833333333333337,5
126,3,0.625,6
126,4,0.45833333333333337,5
126,5,0.625,6
126,6,0.625,6
126,7,0.625,6
127,1,0.29166666666666663,4
127,2,0.45833333333333337,5
127,3,0.29166666666666663,4
127,4,0.125,3
127,5,0.29166666666666663,4
127,6,0.625,6
127,7,0.29166666666666663,4
128,1,0.625,6
128,2,0.625,6
128,3,0.625,6
128,4,0.625,6
128,5,0.625,6
128,6,0.625,6
128,7,0.45833333333333337,5
129,1,0.45833333333333337,5
129,2,0.29166666666666663,4
129,3,0.125,3
129,4,0.29166666666666663,4
129,5,0.45833333333333337,5
129,6,0.29166666666666663,4
129,7,0.29166666666666663,4
131,1,0.29166666666666663,4
131,2,-0.041666666666666685,2
131,3,0.45833333333333337,5
131,4,0.29166666666666663,4
131,5,0.29166666666666663,4
131,6,0.29166666666666663,4
131,7,0.45833333333333337,5
132,1,0.625,6
132,2,0.125,3
132,3,0.29166666666666663,4
132,4,0.29166666666666663,4
132,5,0.625,6
132,6,0.625,6
132,7,0.625,6
133,1,0.625,6
133,2,0.29166666666666663,4
133,3,0.125,3
133,4,0.625,6
133,5,0.625,6
133,6,0.125,3
133,7,0.29166666666666663,4
134,1,0.45833333333333337,5
134,2,0.29166666666666663,4
134,3,0.625,6
134,4,0.625,6
134,5,0.625,6
134,6,0.45833333333333337,5
134,7,0.29166666666666663,4
135,1,0.29166666666666663,4
135,2,0.125,3
135,3,0.45833333333333337,5
135,4,0.45833333333333337,5
135,5,0.45833333333333337,5
135,6,0.125,3
135,7,0.125,3
136,1,0.625,6
136,2,0.625,6
136,3,0.45833333333333337,5
136,4,0.45833333333333337,5
136,5,0.625,6
136,6,0.29166666666666663,4
136,7,0.45833333333333337,5
137,1,0.45833333333333337,5
137,2,0.625,6
137,3,0.45833333333333337,5
137,4,0.45833333333333337,5
137,5,0.625,6
137,6,0.625,6
137,7,0.29166666666666663,4
138,1,0.125,3
138,2,0.45833333333333337,5
138,3,0.125,3
138,4,0.29166666666666663,4
138,5,0.125,3
138,6,0.45833333333333337,5
138,7,-0.041666666666666685,2
139,1,0.29166666666666663,4
139,2,0.125,3
139,3,0.125,3
139,4,0.125,3
139,5,0.29166666666666663,4
139,6,0.625,6
139,7,0.125,3
140,1,0.45833333333333337,5
140,2,0.125,3
140,3,0.625,6
140,4,0.625,6
140,5,0.125,3
140,6,0.45833333333333337,5
140,7,0.29166666666666663,4
141,1,0.625,6
141,2,-0.041666666666666685,2
141,3,0.625,6
141,4,0.45833333333333337,5
141,5,0.29166666666666663,4
141,6,0.29166666666666663,4
141,7,0.29166666666666663,4
142,1,0.29166666666666663,4
142,2,0.29166666666666663,4
142,3,0.29166666666666663,4
142,4,0.125,3
142,5,0.125,3
142,6,0.29166666666666663,4
142,7,0.29166666666666663,4
144,1,-0.041666666666666685,2
144,2,0.45833333333333337,5
144,3,0.29166666666666663,4
144,4,0.125,3
144,5,0.625,6
144,6,-0.041666666666666685,2
144,7,-0.20833333333333334,1
146,1,0.29166666666666663,4
146,2,0.45833333333333337,5
146,3,0.625,6
146,4,0.625,6
146,5,0.625,6
146,6,0.625,6
146,7,0.625,6
148,1,0.29166666666666663,4
148,2,0.625,6
148,3,0.45833333333333337,5
148,4,0.625,6
148,5,0.625,6
148,6,0.625,6
148,7,0.45833333333333337,5
149,1,0.45833333333333337,5
149,2,0.45833333333333337,5
149,3,0.625,6
149,4,0.625,6
149,5,0.29166666666666663,4
149,6,0.625,6
149,7,0.125,3
150,1,0.625,6
150,2,0.625,6
150,3,0.625,6
150,4,0.625,6
150,5,0.625,6
150,6,0.625,6
150,7,0.625,6
